[ 2025-03-31 21:35:53,120 ] 18 root - INFO - Initiate the data Ingestion
[ 2025-03-31 21:36:19,564 ] 79 root - INFO - Performed train test split on the dataframe
[ 2025-03-31 21:36:19,564 ] 81 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-31 21:36:19,564 ] 87 root - INFO - Exporting train and test file path.
[ 2025-03-31 21:36:19,780 ] 97 root - INFO - Exported train and test file path.
[ 2025-03-31 21:36:19,785 ] 20 root - INFO - Data initiation completed
[ 2025-03-31 21:36:19,788 ] 24 root - INFO - Initiate the data Validation
[ 2025-03-31 21:36:19,844 ] 38 root - INFO - Reduired number of columns:2
[ 2025-03-31 21:36:19,844 ] 39 root - INFO - Data frame has columns:32
[ 2025-03-31 21:36:19,844 ] 38 root - INFO - Reduired number of columns:2
[ 2025-03-31 21:36:19,844 ] 39 root - INFO - Data frame has columns:32
[ 2025-03-31 21:36:20,519 ] 28 root - INFO - Data Transformation started
[ 2025-03-31 21:36:20,519 ] 64 root - INFO - Entered initiate_data_transformation of DataTransformation class
[ 2025-03-31 21:36:20,519 ] 66 root - INFO - Starting data Transformation
[ 2025-03-31 21:36:20,575 ] 50 root - INFO - Entered get_data_transformer_object method of Transformation Class
[ 2025-03-31 21:36:20,575 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-31 21:36:20,599 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-31 21:36:20,620 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-31 21:36:20,621 ] 33 root - INFO - Data Transformation completed
